front,back
[$]cos(\pi - t)[/$],-cos(t)
[$]cos(\pi + t)[/$],-cos(t)<br />
[$]&nbsp;cos(\frac{\pi}{2} - t)[/$],sin(t)
[$]cos(\frac{\pi}{2} + t )[/$],-sin(t)
[$]sin(\pi - t)[/$],sin(t)
[$]sin(\pi + t)[/$],-sin(t)
[$]sin(\frac{\pi}{2} +t)[/$],cos(t)
[$]&nbsp;sin(\frac{\pi}{2} - t )[/$],cos(t)
cos(a+b),cos(a)cos(b)-sin(a)sin(b)
cos(a-b),cos(a)cos(b)+sin(a)sin(b)
sin(a+b),sin(a)cos(b)+sin(b)cos(a)
sin(a-b),sin(a)cos(b)-sin(b)cos(a)
cos(a)cos(b),[$]\frac{cos(a+b) + cos(a-b)}{2}[/$]
sin(a)sin(b),&nbsp;[$]\frac{cos(a-b) - cos(a+b)}{2}[/$]
sin(a)cos(b),[$]\frac{sin(a+b) + sin(a-b)}{2}[/$]
cos(a)+cos(b),[$]2 cos (\frac{a+b}{2})cos(\frac{a-b}{2} )[/$]
cos(a)-cos(b),[$]&nbsp;-2 sin(\frac{a+b}{2}) sin (\frac{a-b}{2})[/$]
sin(a)+sin(b),&nbsp;[$]2sin(\frac{a+b}{2})cos(\frac{a-b}{2})[/$]
sin(a)-sin(b),[$]2 cos (\frac{a+b}{2}) sin (\frac{a-b}{2})[/$]
[$]cos(\frac{\pi}{6})[/$],[$]\frac{\sqrt{3} }{2}[/$]
[$]cos( \frac{ \pi}{4} )&nbsp;[/$],[$]\frac{ \sqrt{2} }{2}[/$]
[$]&nbsp;sin(\frac{\pi}{4})[/$],[$]\frac{\sqrt{2} }{2}[/$]
[$]sin(\frac{\pi}{3})[/$],[$]&nbsp;\frac{\sqrt{3} }{2}[/$]
[$]sin(\frac{\pi}{6})[/$],[$]\frac{1}{2}[/$]
[$]cos(\frac{\pi}{3})[/$],[$]\frac{1}{2}[/$]
&nbsp;[$]cos(\frac{\pi}{2})[/$],0
[$]sin( \frac{ \pi}{2} )&nbsp;[/$],1
tan(0),0
[$]&nbsp;tan(\frac{\pi}{6})[/$],[$]&nbsp;\frac{1}{\sqrt{3} }&nbsp;[/$]
[$]tan(\frac{\pi}{4})[/$],1
[$]tan(\frac{\pi}{3})[/$],"<img src=""render (33).png"" />"
tan(a+b),&nbsp;[$]\frac{tan(a) + tan(b)}{1- tan(a)tan(b)}[/$]
tan(a-b),&nbsp;[$]\frac{tan(a) - tan(b)}{1+ tan(a)tan(b)}[/$]
cos(a)=cos(b) [$]\Leftrightarrow[/$] ?,[$]a \equiv b [2\pi] \; ou \; a \equiv -b[2\pi][/$]
sin(a) = sin(b) [$]\Leftrightarrow[/$] ?,[$]&nbsp;a \equiv b [2\pi] \; ou &nbsp;\; a \equiv \pi - b [2\pi] [/$]
